epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.807,1.74264,5.34104,1.36877,0.00594,0.04505,0.00545,0.00502,0.49364,inf,0.95922,2.997e-05,2.997e-05,2.997e-05
2,8.148,1.014,4.8797,1.06607,0.01068,0.12218,0.01054,0.00931,0.55937,inf,0.86227,6.20173e-05,6.20173e-05,6.20173e-05
3,12.1677,0.73468,4.10848,0.95377,0.0427,0.19168,0.05097,0.04602,0.4625,inf,0.85569,9.27458e-05,9.27458e-05,9.27458e-05
4,15.9287,0.65065,3.23101,0.90456,0.20338,0.42594,0.24522,0.23476,0.33832,3.63411,0.83999,0.000122156,0.000122156,0.000122156
5,19.7387,0.62536,2.70096,0.87927,0.25436,0.52576,0.31631,0.30509,0.32054,2.9619,0.84401,0.000150247,0.000150247,0.000150247
